source_name_abbr,CHEMICAL,reported_chemical_name,reported_casrn,X,substanceid,withoutparenthetical,parenthetical
usgs,1,Metoprolol,,NA,NA,Metoprolol,
usgs,1,Propoxyphene,,NA,NA,Propoxyphene,
usgs,1,Sulfamethoxazole,,NA,NA,Sulfamethoxazole,
usgs,1,Valsartan,,NA,NA,Valsartan,
usgs,1,2-Hydroxyatrazine,,NA,NA,2-Hydroxyatrazine,
usgs,,Total Particulate Organic Carbon,,NA,NA,Total Particulate Organic Carbon,
usgs,,Dissolved inorganic nitrogen/soluble reactive phosphorus ratio,,NA,NA,Dissolved inorganic nitrogen/soluble reactive phosphorus ratio,
usgs,,Biomass,,NA,NA,Biomass,
usgs,,Phytoplankton biovolume,,NA,NA,Phytoplankton biovolume,
usgs,1,Isofenphos,,NA,NA,Isofenphos,
usgs,1,Cross-section Depth,,NA,NA,Cross-section Depth,
usgs,,Bank erosion stability (choice list),,NA,NA,Bank erosion stability ,choice list
usgs,,Bank vegetative stability (choice list),,NA,NA,Bank vegetative stability ,choice list
usgs,,"RBP2, Aquatic Vegetation, Dominant Type & Species (choice list)",,NA,NA,"RBP2, Aquatic Vegetation, Dominant Type & Species ",choice list
usgs,,"RBP2, Aquatic vegetation, portion of reach with AV (%)",,NA,NA,"RBP2, Aquatic vegetation, portion of reach with AV ",%
usgs,,"RBP2, Habitat type, gravel-cobble (%)",,NA,NA,"RBP2, Habitat type, gravel-cobble ",%
usgs,,"RBP2, Habitat type, riffle (%)",,NA,NA,"RBP2, Habitat type, riffle ",%
usgs,,"RBP2, Habitat type, run (%)",,NA,NA,"RBP2, Habitat type, run ",%
usgs,,"RBP2, Habitat type, snags (%)",,NA,NA,"RBP2, Habitat type, snags ",%
usgs,,"RBP2, Habitat type, vegetated banks (%)",,NA,NA,"RBP2, Habitat type, vegetated banks ",%
usgs,,"RBP2, Instream Features, Canopy Cover (choice list)",,NA,NA,"RBP2, Instream Features, Canopy Cover ",choice list
usgs,,"RBP2, Instream Features, Channelized (Y/N) (choice list)",,NA,NA,"RBP2, Instream Features, Channelized  ",Y/Nchoice list
usgs,,"RBP2, Instream features, est. stream depth",,NA,NA,"RBP2, Instream features, est. stream depth",
usgs,,"RBP2, Instream features, est. stream width",,NA,NA,"RBP2, Instream features, est. stream width",
usgs,,"RBP2, Instream features, high water mark",,NA,NA,"RBP2, Instream features, high water mark",
usgs,,"RBP2, Riparian Vegetation, Dominant Species Present (choice list)",,NA,NA,"RBP2, Riparian Vegetation, Dominant Species Present ",choice list
usgs,,"RBP2, Watershed, Local Erosion (choice list)",,NA,NA,"RBP2, Watershed, Local Erosion ",choice list
usgs,,"RBP2, Watershed, Predominant Surrounding Landuse (choice list)",,NA,NA,"RBP2, Watershed, Predominant Surrounding Landuse ",choice list
usgs,,Riparian Width LDB,,NA,NA,Riparian Width LDB,
usgs,,Riparian Width RDB,,NA,NA,Riparian Width RDB,
usgs,,Fast Riffle,,NA,NA,Fast Riffle,
usgs,,Kick Depth,,NA,NA,Kick Depth,
usgs,,Kick Time,,NA,NA,Kick Time,
usgs,,"RBP2, Substrate, inorganic, bedrock",,NA,NA,"RBP2, Substrate, inorganic, bedrock",
usgs,,"RBP2, Substrate, Inorganic, boulder, >256 mm",,NA,NA,"RBP2, Substrate, Inorganic, boulder, >256 mm",
usgs,,"RBP2, Substrate, inorganic, cobble, 64-256 mm",,NA,NA,"RBP2, Substrate, inorganic, cobble, 64-256 mm",
usgs,,"RBP2, Substrate, inorganic, gravel, 2-64 mm",,NA,NA,"RBP2, Substrate, inorganic, gravel, 2-64 mm",
usgs,,"RBP2, Substrate, organic, detritus, sticks, wood, etc. (CPOM)",,NA,NA,"RBP2, Substrate, organic, detritus, sticks, wood, etc. ",CPOM
usgs,,Rocky Substrate (Choice List),,NA,NA,Rocky Substrate ,Choice List
usgs,,Sandy Substrate (Choice List),,NA,NA,Sandy Substrate ,Choice List
usgs,,Slow Riffle,,NA,NA,Slow Riffle,
usgs,,"RBP2, Substrate, inorganic, sand, 0.06-2.0 mm",,NA,NA,"RBP2, Substrate, inorganic, sand, 0.06-2.0 mm",
usgs,,"RBP2, Substrate, Inorganic, Silt, 0.004-0.06 mm",,NA,NA,"RBP2, Substrate, Inorganic, Silt, 0.004-0.06 mm",
usgs,,"RBP2, Habitat type, pools (%)",,NA,NA,"RBP2, Habitat type, pools ",%
usgs,,"RBP2, Habitat type, sand (%)",,NA,NA,"RBP2, Habitat type, sand ",%
usgs,,Relative Air Temperature (choice list),,NA,NA,Relative Air Temperature ,choice list
usgs,,Wave height (WMO code 1555) (choice list),,NA,NA,Wave height  ,WMO code 1555choice list
usgs,,Beam Attenuation (Seabird),,NA,NA,Beam Attenuation ,Seabird
usgs,,Irradiance (Seabird),,NA,NA,Irradiance ,Seabird
usgs,,SPAR,,NA,NA,SPAR,
usgs,,"Transmittance, Horizontal",,NA,NA,"Transmittance, Horizontal",
usgs,1,"2,2',4,4'-Tetrabromodiphenyl ether",,NA,NA,"2,2',4,4'-Tetrabromodiphenyl ether",
usgs,1,"2,3,4,5,6-pentachloro-p-terphenyl",,NA,NA,"2,3,4,5,6-pentachloro-p-terphenyl",
usgs,1,"2,4,4'-Tribromodiphenyl ether",,NA,NA,"2,4,4'-Tribromodiphenyl ether",
usgs,1,BDE-017,,NA,NA,BDE-017,
usgs,1,BDE-099,,NA,NA,BDE-099,
usgs,1,BDE-100,,NA,NA,BDE-100,
usgs,1,BDE-119,,NA,NA,BDE-119,
usgs,1,BDE-153,,NA,NA,BDE-153,
usgs,1,BDE-156,,NA,NA,BDE-156,
usgs,1,BDE-184,,NA,NA,BDE-184,
usgs,1,BDE-191,,NA,NA,BDE-191,
usgs,1,BDE-196,,NA,NA,BDE-196,
usgs,1,BDE-197,,NA,NA,BDE-197,
usgs,1,Decabromodiphenyl ether,,NA,NA,Decabromodiphenyl ether,
usgs,1,PCB-105/132,,NA,NA,PCB-105/132,
usgs,1,PCB-109/123,,NA,NA,PCB-109/123,
usgs,1,PCB-117/136,,NA,NA,PCB-117/136,
usgs,1,PCB-122/165,,NA,NA,PCB-122/165,
usgs,1,PCB-128/185,,NA,NA,PCB-128/185,
usgs,1,PCB-129/178,,NA,NA,PCB-129/178,
usgs,1,PCB-13/27,,NA,NA,PCB-13/27,
usgs,1,PCB-171/201,,NA,NA,PCB-171/201,
usgs,1,PCB-195/207,,NA,NA,PCB-195/207,
usgs,1,PCB-34/54,,NA,NA,PCB-34/54,
usgs,1,PCB-37/41,,NA,NA,PCB-37/41,
usgs,1,PCB-4/10,,NA,NA,PCB-4/10,
usgs,1,PCB-40/103,,NA,NA,PCB-40/103,
usgs,1,PCB-47/104,,NA,NA,PCB-47/104,
usgs,1,PCB-56/84,,NA,NA,PCB-56/84,
usgs,1,PCB-63/93,,NA,NA,PCB-63/93,
usgs,1,PCB-66/91,,NA,NA,PCB-66/91,
usgs,1,PCB-77/144,,NA,NA,PCB-77/144,
usgs,1,PCB-83/119,,NA,NA,PCB-83/119,
usgs,1,PCB-85/115/154,,NA,NA,PCB-85/115/154,
usgs,1,Polybrominated diphenyl ethers,,NA,NA,Polybrominated diphenyl ethers,
usgs,1,Toxaphene Parlar 38,,NA,NA,Toxaphene Parlar 38,
usgs,1,Toxaphene Parlar 40,,NA,NA,Toxaphene Parlar 40,
usgs,1,Toxaphene Parlar 41,,NA,NA,Toxaphene Parlar 41,
usgs,1,Toxaphene Parlar 44,,NA,NA,Toxaphene Parlar 44,
usgs,1,Toxaphene Parlar 50,,NA,NA,Toxaphene Parlar 50,
usgs,1,ToxapheneTMX1,,NA,NA,ToxapheneTMX1,
usgs,1,Visibility,,NA,NA,Visibility,
usgs,,"Light attenuation, depth at 10%",,NA,NA,"Light attenuation, depth at 10%",
usgs,,"Light attenuation, depth at 50%",,NA,NA,"Light attenuation, depth at 50%",
usgs,1,Alkaline phosphatase,,NA,NA,Alkaline phosphatase,
usgs,1,Total Nitrogen/Total Phosphorus Ratio (TN:TP),,NA,NA,Total Nitrogen/Total Phosphorus Ratio ,
usgs,1,"2-Chloro-4,6-diamino-s-triazine",,NA,NA,"2-Chloro-4,6-diamino-s-triazine",
