"name","reported_chemical_name","reported_casrn"
"chem_theatre","PCB183","52663-69-1"
"chem_theatre","PCB187","52663-68-0"
"chem_theatre","PCB188","74487-85-7"
"chem_theatre","PCB189","39635-31-9"
"chem_theatre","PCB191","74472-50-7"
"chem_theatre","PCB194","35694-08-7"
"chem_theatre","PCB199","52663-75-9"
"chem_theatre","PCB201","40186-71-8"
"chem_theatre","PCB202","2136-99-4"
"chem_theatre","PCB205","74472-53-0"
"chem_theatre","PCB206","40186-72-9"
"chem_theatre","PCB208","52663-77-1"
"chem_theatre","PCB209","2051-24-3"
"chem_theatre","PCB1","2051-60-7"
"chem_theatre","PCB3","2051-62-9"
"chem_theatre","PCB15","2050-68-2"
"chem_theatre","PCB18","37680-65-2"
"chem_theatre","2,3,7,8-TCDD","1746-01-6"
"chem_theatre","1,2,3,7,8-PentaCDD","40321-76-4"
"chem_theatre","1,2,3,4,7,8-HexaCDD","39227-28-6"
"chem_theatre","1,2,3,6,7,8-HexaCDD","57653-85-7"
"chem_theatre","1,2,3,7,8,9-HexaCDD","19408-74-3"
"chem_theatre","1,2,3,4,6,7,8-HeptaCDD","35822-46-9"
"chem_theatre","OctaCDD","3268-87-9"
"chem_theatre","2,3,7,8-TetraCDF","51207-31-9"
"chem_theatre","1,2,3,7,8-PentaCDF","57117-41-6"
"chem_theatre","2,3,4,7,8-PentaCDF","57117-31-4"
"chem_theatre","1,2,3,4,7,8-HexaCDF","70648-26-9"
"chem_theatre","1,2,3,6,7,8-HexaCDF","57117-44-9"
"chem_theatre","1,2,3,7,8,9-HexaCDF","72918-21-9"
"chem_theatre","2,3,4,6,7,8-HexaCDF","60851-34-5"
"chem_theatre","1,2,3,4,6,7,8-HeptaCDF","67562-39-4"
"chem_theatre","1,2,3,4,7,8,9-HeptaCDF","55673-89-7"
"chem_theatre","OctaCDF","39001-02-0"
"chem_theatre","Total PCDDs",""
"chem_theatre","Total PCDFs",""
"chem_theatre","Total PCDD/Fs",""
"chem_theatre","PCDDs-TEQs",""
"chem_theatre","PCDFs-TEQs",""
"chem_theatre","PCDD/Fs-TEQs",""
"chem_theatre","Total TEQs",""
"chem_theatre","Total non-ortho PCBs",""
"chem_theatre","Total mono-ortho PCBs",""
"chem_theatre","non-ortho PCBs-TEQs",""
"chem_theatre","mono-ortho PCBs-TEQs",""
"chem_theatre","Coplanar PCBs-TEQs",""
"chem_theatre","4'OH-CB101+120",""
"chem_theatre","3'OH-CB118","170946-11-9"
"chem_theatre","4OH-CB107+4'OH-CB108",""
"chem_theatre","OH-penta-PCB",""
"chem_theatre","4OH-CB134","941713-64-0"
"chem_theatre","4OH-CB146","145413-90-7"
"chem_theatre","3'OH-CB138","149589-59-3"
"chem_theatre","4'OH-CB130","158076-62-1"
"chem_theatre","4'OH-CB159","158076-63-2"
"chem_theatre","OH-hexa-PCB",""
"chem_theatre","3'OH-CB184","941713-69-5"
"chem_theatre","3'OH-CB184",""
"chem_theatre","4OH-CB178","356033-96-0"
"chem_theatre","4OH-CB178",""
"chem_theatre","3'OH-CB182+183",""
"chem_theatre","4OH-CB187","158076-68-7"
"chem_theatre","4OH-CB187",""
"chem_theatre","4OH-CB177","941713-68-4"
"chem_theatre","4OH-CB177",""
"chem_theatre","3'OH-CB180","158076-69-8"
"chem_theatre","3'OH-CB180",""
"chem_theatre","4'OH-CB172","158076-64-3"
"chem_theatre","4'OH-CB172",""
"chem_theatre","OH-hepta-PCB",""
"chem_theatre","4OH-CB202","907591-82-6"
"chem_theatre","4OH-CB202",""
"chem_theatre","4OH-CB201","941713-70-8"
"chem_theatre","4'OH-CB198+3'OH-CB203",""
"chem_theatre","4'OH-CB199","473230-69-2"
"chem_theatre","4'OH-CB199",""
"chem_theatre","OH-octa-PCB",""
"chem_theatre","OH-PCB",""
"chem_theatre","p,p'-DDE","72-55-9"
"chem_theatre","p,p'-DDD","72-54-8"
"chem_theatre","p,p'-DDT","50-29-3"
"chem_theatre","DDTs",""
"chem_theatre","HCH","319-84-6"
"chem_theatre","HCH","319-85-7"
"chem_theatre","HCH","58-89-9"
"chem_theatre","HCH","319-86-8"
"chem_theatre","HCHs",""
"chem_theatre","Oxychlordane","27304-13-8"
"chem_theatre","trans-Chlordane","5103-74-2"
"chem_theatre","cis-Chlordane","5103-71-9"
"chem_theatre","trans-nonachlor","39765-80-5"
"chem_theatre","cis-nonachlor","5103-73-1"
"chem_theatre","CHLs",""
"chem_theatre","HCB","118-74-1"
"chem_theatre","BDE15","2050-47-7"
"chem_theatre","BDE28","41318-75-6"
"chem_theatre","BDE47","5436-43-1"
"chem_theatre","BDE99","60348-60-9"
"chem_theatre","BDE100","189084-64-8"
"chem_theatre","BDE153","68631-49-2"
"chem_theatre","BDE154","207122-15-4"
"chem_theatre","BDE183","207122-16-5"
"chem_theatre","BDE196","446255-39-6"
"chem_theatre","BDE197","117964-21-3"
"chem_theatre","BDE206","63387-28-0"
"chem_theatre","BDE207","437701-79-6"
"chem_theatre","BDE209","1163-19-5"
"chem_theatre","PBDEs",""
"chem_theatre","HBCD","134237-50-6"
"chem_theatre","HBCD","134237-51-7"
"chem_theatre","HBCD","134237-52-8"
"chem_theatre","HBCDs",""
"chem_theatre","4'OH-CB79","111810-41-4"
"chem_theatre","PCP","87-86-5"
"chem_theatre","PCP","599-64-4"
"chem_theatre","OH-tetra-PCB",""
"chem_theatre","Naphthalene","91-20-3"
"chem_theatre","Acenaphthylene","208-96-8"
"chem_theatre","Acenaphthene","83-32-9"
"chem_theatre","Fluorene","86-73-7"
"chem_theatre","Dibenzothiophene","132-65-0"
"chem_theatre","Phenanthrene","85-01-8"
"chem_theatre","Anthracene","120-12-7"
"chem_theatre","Fluoranthene","206-44-0"
"chem_theatre","Pyrene","129-00-0"
"chem_theatre","Benz(a)anthracene","56-55-3"
"chem_theatre","Chrysene","218-01-9"
"chem_theatre","Benzo(b)fluoranthene","205-99-2"
"chem_theatre","Benzo(k)fluoranthene","207-08-9"
"chem_theatre","Benzo(a)pyrene","50-32-8"
"chem_theatre","Dibenz(a,h)anthracene","53-70-3"
"chem_theatre","Indeno(1,2,3-cd)pyrene","193-39-5"
"chem_theatre","Benzo(g,h,i)perylene","191-24-2"
"chem_theatre","PAHs",""
"chem_theatre","Cd","7440-43-9"
"chem_theatre","Cu","7440-50-8"
"chem_theatre","Pb","7439-92-1"
"chem_theatre","Zn","7440-66-6"
"chem_theatre","1-Nitronaphthalene",""
"chem_theatre","2-Nitronaphthalene",""
"chem_theatre","2-Nitrofluorene",""
"chem_theatre","3-Nitrophenanthrene",""
"chem_theatre","9-Nitrophenanthrene",""
"chem_theatre","1-Nitropyrene",""
"chem_theatre","4-Nitropyrene",""
"chem_theatre","6-Nitrochrycene",""
"chem_theatre","NPAHs",""
"chem_theatre","NP",""
"chem_theatre","BPA",""
"chem_theatre","OP",""
"chem_theatre","E2",""
"chem_theatre","E1",""
"chem_theatre","PFBS","375-73-5"
"chem_theatre","PFHxS","355-46-4"
"chem_theatre","PFHpS","375-92-8"
"chem_theatre","PFOS","1763-23-1"
"chem_theatre","PFBA","375-22-4"
"chem_theatre","PFPA","2706-90-3"
"chem_theatre","PFHxA","307-24-4"
"chem_theatre","PFHpA","375-85-9"
"chem_theatre","PFOA","335-67-1"
"chem_theatre","PFNA","375-95-1"
"chem_theatre","PFDA","335-76-2"
"chem_theatre","PFUA","2058-94-8"
"chem_theatre","PFTrDA","72629-94-8"
"chem_theatre","BDE3","101-55-3"
"chem_theatre","TOCs",""
"chem_theatre","Dexamethasone",""
"chem_theatre","Cortisol","50-23-7"
"chem_theatre","Predonisolone","50-24-8"
"chem_theatre","6-Methylprednisolone","83-43-2"
"chem_theatre","Difluprednate","23674-86-4"
"chem_theatre","Betamethasone 17,21-dipropionate","5593-20-4"
"chem_theatre","Clobetasol propionate","25122-46-7"
"chem_theatre","Betamethasone 17-valerate","2152-44-5"
"chem_theatre","Clobetasone butyrate","25122-57-0"
"chem_theatre","Bezafibrate","41859-67-0"
"chem_theatre","Carbamazepine","298-46-4"
"chem_theatre","Diclofenac","15307-86-5"
"chem_theatre","Diltiazem","42399-41-7"
"chem_theatre","Indomethacin","53-86-1"
"chem_theatre","Mefenamic acid","61-68-7"
"chem_theatre","Triclocarban","101-20-2"
"chem_theatre","Triclosan","3380-34-5"
"chem_theatre","Crotamiton","483-63-6"
"chem_theatre","Diphenhydramine","58-73-1"
"chem_theatre","Fenofibric acid","42017-89-0"
"chem_theatre","Haloperidol","52-86-8"
"chem_theatre","Losartan","114798-26-4"
"chem_theatre","Norsertaline","91797-58-9"
"chem_theatre","Sertraline","79617-96-2"
"chem_theatre","Methyl paraben","99-76-3"
"chem_theatre","Ethyl paraben","120-47-8"
"chem_theatre","Propyl paraben","94-13-3"
"chem_theatre","Butyl paraben","94-26-8"
"chem_theatre","N,N-Diethyl-3-methylbenzamide","94271-03-1"
"chem_theatre","Mn","7439-96-5"
"chem_theatre","Total As",""
"chem_theatre","Fe","7439-89-6"
"chem_theatre","methylphenanthrene",""
"chem_theatre","4H-Cyclopenta[def]phenanthrene","203-64-5"
"chem_theatre","Aldrin",""
"chem_theatre","Dieldrin","60-57-1"
"chem_theatre","Endrin","72-20-8"
"chem_theatre","Heptachlor","76-44-8"
"chem_theatre","Heptachlor epoxide","1024-57-3"
"chem_theatre","Mirex","2385-85-5"
"chem_theatre","Endosulfan-I","959-98-8"
"chem_theatre","Endosulfan-II","33213-65-9"
"chem_theatre","Endosulfan S",""
"chem_theatre","Toxaphene 26",""
"chem_theatre","Toxaphene 50",""
"chem_theatre","Toxaphene 62",""
"chem_theatre","Endrin aldehyde","7421-93-4"
"chem_theatre","Endrin ketone","53494-70-5"
"chem_theatre","Methoxychlor","72-43-5"
"chem_theatre","Pentachlorobenzene",""
"chem_theatre","Total Hg","7439-97-6"
"chem_theatre","MeHg","22967-92-6"
"chem_theatre","13C",""
"chem_theatre","15N",""
"chem_theatre","Arsenite","15502-74-6"
"chem_theatre","Methylarsonic acid","124-58-3"
"chem_theatre","Dimethylarsinic acid","75-60-5"
"chem_theatre","Arsenobetaine","64436-13-1"
"chem_theatre","Arsenocholine","39895-81-3"
"chem_theatre","Tetramethylarsonium iodide","5814-20-0"
"chem_theatre","Arsenate","15584-04-0"
"chem_theatre","Monomethylarsonic acid",""
"chem_theatre","Total Sn",""
"chem_theatre","TCPMe","27575-78-6"
"chem_theatre","TCPMOH","3010-80-8"
"chem_theatre","E1-3-sulfate","7280-37-7"
"chem_theatre","POC",""
"chem_theatre","PCB15+PCB18",""
"chem_theatre","PCB118+PCB149",""
"chem_theatre","PCB187+PCB128",""
"chem_theatre","PCB156+PCB171",""
"chem_theatre","PCB157+PCB202",""
"chem_theatre","OD-PABA","21245-02-3"
"chem_theatre","4-MBC","36861-47-9"
"chem_theatre","EHMC","5466-77-3"
"chem_theatre","EHS","118-60-5"
"chem_theatre","PFDDA","307-55-1"
"chem_theatre","PFTeDA","376-06-7"
"chem_theatre","PFDS","335-77-3"
"chem_theatre","TBBPA","79-94-7"
"chem_theatre","1,2,8,9-TCDD","62470-54-6"
"chem_theatre","1,3,6,8-TCDD","33423-92-6"
"chem_theatre","1,3,7,9-TCDD","62470-53-5"
"chem_theatre","1,2,7,8-TCDF","58802-20-3"
"chem_theatre","1,2,8,9-TCDF","70648-22-5"
"chem_theatre","1,3,6,8-TCDF","71998-72-6"
"chem_theatre","2,3,7-TriBDD","51974-40-4"
"chem_theatre","1,3,7-/1,3,8-TriBDD",""
"chem_theatre","2,3,7,8-TBDD","50585-41-6"
"chem_theatre","1,2,3,7,8-PeBDD","109333-34-8"
"chem_theatre","1,2,3,4,7,8-HxBDD","110999-44-5"
"chem_theatre","1,2,3,4,6,7,8-HpBDD","110999-47-8"
"chem_theatre","OBDD","2170-45-8"
"chem_theatre","2-MonoBDF","86-76-0"
"chem_theatre","2,8-DiBDF","10016-52-1"
"chem_theatre","2,4,8-TriBDF","617707-54-7"
"chem_theatre","2,3,7,8-TBDF","67733-57-7"
"chem_theatre","2,3,4,7,8-PeBDF","131166-92-2"
"chem_theatre","1,2,3,4,7,8-HxBDF","129880-08-6"
"chem_theatre","1,2,3,4,6,7,8-HpBDF","107555-95-3"
"chem_theatre","OBDF","103582-29-2"
"chem_theatre","Total PBDDs",""
"chem_theatre","Total PBDFs",""
"chem_theatre","Total PBDD/DFs",""
"chem_theatre","PBDDs-TEQ",""
"chem_theatre","PBDFs-TEQ",""
"chem_theatre","Perchlorate","14797-73-0"
"chem_theatre","BATE","99717-56-3"
"chem_theatre","pTBX","23488-38-2"
"chem_theatre","PBBz","608-90-2"
"chem_theatre","TBCT","39569-21-6"
"chem_theatre","PBT","87-83-2"
"chem_theatre","PBEB","85-22-3"
"chem_theatre","DPTE","35109-60-5"
"chem_theatre","HBBz","87-82-1"
"chem_theatre","PBBA",""
"chem_theatre","EH-TBB","183658-27-7"
"chem_theatre","HCDBCO","51936-55-1"
"chem_theatre","BTBPE","37853-59-1"
"chem_theatre","BEH-TEBP","26040-51-7"
"chem_theatre","T23BPIC","52434-90-9"
"chem_theatre","syn-DP","13560-89-9"
"chem_theatre","anti-DP","13560-89-9"
"chem_theatre","Total DPs",""
"chem_theatre","OBIND","155613-93-7"
"chem_theatre","DBDPE","84852-53-9"
"chem_theatre","110mAg","378784-24-8"
"chem_theatre","134Cs","13967-70-9"
"chem_theatre","137Cs","10045-97-3"
"chem_theatre","40K","13966-00-2"
"chem_theatre","2,7-/2,8-DiBDDs",""
"chem_theatre","DiBDDs",""
"chem_theatre","TrBDDs",""
"chem_theatre","1,2,3,7-/1,2,3,8-TeBDDs",""
"chem_theatre","TeBDDs",""
"chem_theatre","PeBDDs",""
"chem_theatre","1,2,3,4,7,8-/1,2,3,6,7,8-HxBDDs",""
"chem_theatre","1,2,3,7,8,9-HxBDD","110999-46-7"
"chem_theatre","HxBDDs",""
"chem_theatre","MoBDFs",""
"chem_theatre","DiBDFs",""
"chem_theatre","TrBDFs",""
"chem_theatre","TeBDFs",""
"chem_theatre","1,2,3,7,8-PeBDF","107555-93-1"
"chem_theatre","PeBDFs",""
"chem_theatre","HxBDFs",""
"chem_theatre","HpBDFs",""
"chem_theatre","Hexamethylcyclotrisiloxane","541-05-9"
"chem_theatre","Octamethylcyclotetrasiloxane","556-67-2"
"chem_theatre","Decamethylcyclopentasiloxane","541-02-6"
"chem_theatre","Dodecamethylcyclohexasiloxane","540-97-6"
"chem_theatre","Octamethyltrisiloxane","107-51-7"
"chem_theatre","Decamethyltetrasiloxane","141-62-8"
"chem_theatre","Dodecamethylpentasiloxane","141-63-9"
"chem_theatre","DMDC","7234-39-1"
"chem_theatre","DCOIT","64359-81-5"
"chem_theatre","Perylene","198-55-0"
"chem_theatre","C1-Naphthalene","1321-94-4"
"chem_theatre","C2-Naphthalene","28804-88-8"
"chem_theatre","C3-Naphthalene","28652-77-9"
"chem_theatre","C4-Naphthalene","28652-74-6"
"chem_theatre","C1-Fluorene","26914-17-0"
"chem_theatre","C2-Fluorene","30582-01-5"
"chem_theatre","C3-Fluorene","30582-02-6"
"chem_theatre","C1-Dibenzothiophene","30995-64-3"
"chem_theatre","C2-Dibenzothiophene","70021-47-5"
"chem_theatre","C3-Dibenzothiophene","70021-48-6"
"chem_theatre","C4-Dibenzothiophene","113547-12-9"
"chem_theatre","C1-Anthracene","26914-18-1"
"chem_theatre","C2-Anthracene","29063-00-1"
"chem_theatre","C3-Anthracene","27358-28-7"
"chem_theatre","C4-Anthracene","137284-64-1"
"chem_theatre","C2-Pyrene","30582-03-7"
"chem_theatre","C3-Pyrene","41637-88-1"
"chem_theatre","C1-Chrysene","41637-90-5"
"chem_theatre","C2-Chrysene","41637-92-7"
"chem_theatre","C3-Chrysene","60826-77-9"
"chem_theatre","Li","7439-93-2"
"chem_theatre","Mg","7439-95-4"
"chem_theatre","Al","7429-90-5"
"chem_theatre","V","7440-62-2"
"chem_theatre","Cr","7440-47-3"
"chem_theatre","Co","7440-48-4"
"chem_theatre","Ga","7440-55-3"
"chem_theatre","Se","7782-49-2"
"chem_theatre","Rb","7440-17-7"
"chem_theatre","Sr","7440-24-6"
"chem_theatre","Mo","7439-98-7"
"chem_theatre","Ag","7440-22-4"
"chem_theatre","In","7440-74-6"
"chem_theatre","Sb","7440-36-0"
"chem_theatre","Cs","7440-46-2"
"chem_theatre","Ba","7440-39-3"
"chem_theatre","Tl","7440-28-0"
"chem_theatre","Bi","7440-69-9"
"chem_theatre","Ni","7440-02-0"
"chem_theatre","2,4-DCP","120-83-2"
"chem_theatre","2,5-DCP","583-78-8"
"chem_theatre","2,4,5-TCP","95-95-4"
"chem_theatre","2,4,6-TCP","88-06-2"
"chem_theatre","2,3,4,5-TeCP","4901-51-3"
"chem_theatre","2,3,4,6-TeCP","58-90-2"
"chem_theatre","2,3,5,6-TeCP","935-95-5"
"chem_theatre","Hg 0 (g)","7439-97-6"
"chem_theatre","199Hg",""
"chem_theatre","200Hg",""
"chem_theatre","201Hg",""
"chem_theatre","202Hg",""
"chem_theatre","204Hg",""
"chem_theatre","9-ClFle","6630-65-5"
"chem_theatre","3-ClPhe","715-51-5"
"chem_theatre","9-ClPhe/2-ClPhe",""
"chem_theatre","1-ClAnt","4985-70-0"
"chem_theatre","2-ClAnt","17135-78-3"
"chem_theatre","9-ClAnt","716-53-0"
"chem_theatre","2,7-Cl2Fle","7012-16-0"
"chem_theatre","1,4-Cl2Ant","66259-12-9"
"chem_theatre","1,5-Cl2Ant/9,10-Cl2Ant",""
"chem_theatre","9,10-Cl2Phe","17219-94-2"
"chem_theatre","3-ClFlu","25911-51-7"
"chem_theatre","1-ClPyr","34244-14-9"
"chem_theatre","3,8-Cl2Flu","25911-52-8"
"chem_theatre","7-ClBaA","20268-52-4"
"chem_theatre","1,5,9,10-Cl4Ant","82843-47-8"
"chem_theatre","7,12-ClBaA","63021-10-3"
"chem_theatre","6-ClBaP","21248-01-1"
"chem_theatre","5-BrAna","2051-98-1"
"chem_theatre","2-BrFle","1133-80-8"
"chem_theatre","1,2-Br2Any","13019-33-5"
"chem_theatre","3-BrPhe","62162-97-4"
"chem_theatre","9-BrPhe","573-17-1"
"chem_theatre","2-BrPhe","62162-97-4"
"chem_theatre","1-BrAnt","7397-92-4"
"chem_theatre","9-BrAnt","1564-64-3"
"chem_theatre","2,7-Br2Fle","16433-88-8"
"chem_theatre","3-BrFlu","13438-50-1"
"chem_theatre","1,8-Br2Ant/1,5-Br2Ant",""
"chem_theatre","9,10-Br2Ant","523-27-3"
"chem_theatre","4-BrPyr","1732-26-9"
"chem_theatre","9,10-Br2Phe","15810-15-8"
"chem_theatre","1-BrPyr","1714-29-0"
"chem_theatre","2-BrTriph","19111-87-6"
"chem_theatre","1,6-BrPyr","27973-29-1"
"chem_theatre","7-BrBaA","32795-84-9"
"chem_theatre","2-methylnaphthalenes","91-57-6"
"chem_theatre","Benzo(e)pyrene","192-97-2"
"chem_theatre","UV-P","2440-22-4"
"chem_theatre","UV-9","2170-39-0"
"chem_theatre","UV-234","70321-86-7"
"chem_theatre","UV-320","3846-71-7"
"chem_theatre","UV-326","3896-11-5"
"chem_theatre","UV-327","3864-99-1"
"chem_theatre","UV-328","25973-55-1"
"chem_theatre","UV-329","3147-75-9"
"chem_theatre","TBEP","78-51-3"
"chem_theatre","EHDPP","1241-94-7"
"chem_theatre","TnBP","126-73-8"
"chem_theatre","TCP","1330-78-5"
"chem_theatre","TEP","78-40-0"
"chem_theatre","TPeP","2528-38-3"
"chem_theatre","TPhP","115-86-6"
"chem_theatre","TPrP","513-08-6"
"chem_theatre","TEHP","78-42-2"
"chem_theatre","PCNs",""
"chem_theatre","DiBMoCDDs",""
"chem_theatre","6OH-BDE47",""
"chem_theatre","2OH-BDE68",""
"chem_theatre","HO-TrBMoCDE",""
"chem_theatre","PFPeDA",""
"chem_theatre","PFHxDA",""
"chem_theatre","PFHpDA",""
"chem_theatre","PFNS",""
"chem_theatre","8:2 FTUCA",""
"chem_theatre","10:2 FTUCA",""
"chem_theatre","8:2 FTCA",""
"chem_theatre","10:2 FTCA",""
"chem_theatre","PFHxPA",""
"chem_theatre","NMeFOSAA",""
"chem_theatre","NEtFOSAA",""
"chem_theatre","FOSAA",""
"chem_theatre","FOSA",""
"chem_theatre","NMeFOSE",""
"chem_theatre","NEtFOSE",""
"chem_theatre","THPFOS",""
"epa_9potw","4-Epianhydrochlortetracycline (EACTC)",NA
"epa_9potw","4-Epianhydrotetracycline (EATC)",NA
"epa_9potw","4-Epichlortetracycline (ECTC)",NA
"epa_9potw","4-Epioxytetracycline (EOTC)",NA
"epa_9potw","4-Epitetracycline (ETC)",NA
"epa_9potw","Anhydrochlortetracycline (ACTC)",NA
"epa_9potw","Anhydrotetracycline (ATC)",NA
"epa_9potw","Chlorotetracycline (CTC)",NA
"epa_9potw","Demeclocycline",NA
"epa_9potw","Doxycycline",NA
"epa_9potw","Isochlortetracycline (ICTC)",NA
"epa_9potw","Minocycline",NA
"epa_9potw","Oxytetracycline (OTC)",NA
"epa_9potw","Tetracycline (TC)",NA
"epa_9potw","Sulfachloropyridazine",NA
"epa_9potw","Sulfadiazine",NA
"epa_9potw","Sulfadimethoxine",NA
"epa_9potw","Sulfamerazine",NA
"epa_9potw","Sulfamethazine",NA
"epa_9potw","Sulfamethizole",NA
"epa_9potw","Sulfamethoxazole",NA
"epa_9potw","Sulfanilamide",NA
"epa_9potw","Sulfathiazole",NA
"epa_9potw","Ciprofloxacin",NA
"epa_9potw","Clarithromycin",NA
"epa_9potw","Clinafloxacin",NA
"epa_9potw","Enrofloxacin",NA
"epa_9potw","Erythromycin",NA
"epa_9potw","Lomefloxacin",NA
"epa_9potw","Norfloxacin",NA
"epa_9potw","Ofloxacin",NA
"epa_9potw","Roxithromycin",NA
"epa_9potw","Sarafloxicin",NA
"epa_9potw","Tylosin",NA
"epa_9potw","Azithromycin",NA
"epa_9potw","Carbadox",NA
"epa_9potw","Cefotaxime",NA
"epa_9potw","Cloxacillin",NA
"epa_9potw","Flumequine",NA
"epa_9potw","Lincomycin",NA
"epa_9potw","Ormetoprim",NA
"epa_9potw","Oxacillin",NA
"epa_9potw","Oxolinic Acid",NA
"epa_9potw","Penicillin G",NA
"epa_9potw","Penicillin V",NA
"epa_9potw","Trimethoprim",NA
"epa_9potw","Virginiamycin",NA
"epa_9potw","1,7-Dimethyl xanthine",NA
"epa_9potw","Acetaminophen",NA
"epa_9potw","Caffeine",NA
"epa_9potw","Carbamazepine",NA
"epa_9potw","Codeine",NA
"epa_9potw","Cotinine",NA
"epa_9potw","Dehydronifedipine",NA
"epa_9potw","Digoxigenin",NA
"epa_9potw","Digoxin",NA
"epa_9potw","Diltiazem",NA
"epa_9potw","Diphenhydramine",NA
"epa_9potw","Fluoxetine",NA
"epa_9potw","Miconazole",NA
"epa_9potw","Norgestimate",NA
"epa_9potw","Thiabendazole",NA
"epa_9potw","Gemfibrozil",NA
"epa_9potw","Ibuprofen",NA
"epa_9potw","Naproxen",NA
"epa_9potw","Triclocarban",NA
"epa_9potw","Triclosan",NA
"epa_9potw","Warfarin",NA
"epa_9potw","Albuterol",NA
"epa_9potw","Cimetidine",NA
"epa_9potw","Metformin",NA
"epa_9potw","Ranitidine",NA
"epa_9potw","Beta Sitosterol",NA
"epa_9potw","Beta Stigmastanol",NA
"epa_9potw","Campesterol",NA
"epa_9potw","Cholestanol",NA
"epa_9potw","Cholesterol",NA
"epa_9potw","Coprostanol",NA
"epa_9potw","Desmosterol",NA
"epa_9potw","Epicoprostanol",NA
"epa_9potw","Ergosterol",NA
"epa_9potw","Stigmasterol",NA
"epa_9potw","17 Alpha Estradiol",NA
"epa_9potw","17 Alpha Ethinyl Estradiol",NA
"epa_9potw","17 Alpha-Dihydroequilin",NA
"epa_9potw","17 Beta Estradiol",NA
"epa_9potw","Alpha-Zearalanol",NA
"epa_9potw","Androstenedione",NA
"epa_9potw","Androsterone",NA
"epa_9potw","Beta Estradiol 3- Benzoate",NA
"epa_9potw","Desogestrel",NA
"epa_9potw","Equilenin",NA
"epa_9potw","Equilin",NA
"epa_9potw","Estriol",NA
"epa_9potw","Estrone",NA
"epa_9potw","Mestranol",NA
"epa_9potw","Norethindrone",NA
"epa_9potw","Norgestrel",NA
"epa_9potw","Progesterone",NA
"epa_9potw","Testosterone",NA
"epa_9potw","Beta Estradiol 3-Benzoate",NA
"epa_9potw","BPA",NA
"epa_9potw","NP2EO",NA
"epa_9potw","NP1EO",NA
"epa_9potw","OP",NA
"epa_9potw","NP",NA
"epa_9potw","PBDE-28+PBDE-33",NA
"epa_9potw","PBDE-47",NA
"epa_9potw","PBDE-99",NA
"epa_9potw","PBDE-100",NA
"epa_9potw","PBDE-153",NA
"epa_9potw","PBDE-154",NA
"epa_9potw","PBDE-183",NA
"epa_9potw","PBDE-209",NA
"epa_9potw","2,4'-DDD",NA
"epa_9potw","2,4'-DDE",NA
"epa_9potw","2,4'-DDT",NA
"epa_9potw","4,4'-DDD",NA
"epa_9potw","4,4'-DDE",NA
"epa_9potw","4,4'-DDT",NA
"epa_9potw","Aldrin",NA
"epa_9potw","Alpha-BHC",NA
"epa_9potw","Alpha-chlordane",NA
"epa_9potw","Beta-BHC",NA
"epa_9potw","Captan",NA
"epa_9potw","Chlorothalonil",NA
"epa_9potw","Cis-Nonachlor",NA
"epa_9potw","Dacthal",NA
"epa_9potw","Delta-BHC",NA
