,DSSTox_Source_Record_Id,external_id,reported_chemical_name,reported_casrn,DSSTox_Substance_Id,Substance_Name,Substance_CASRN,Substance_Type,Structure_InChIKey,Structure_Formula
27,DTXRID0016336806,ahhs-27,sumithrin,NA,DTXSID7032688,Phenothrin,26002-80-2,Mixture of Stereoisomers,SBNFWQZLDJGRLK-UHFFFAOYNA-N,C23H26O3
28,DTXRID8016336807,ahhs-28,tetramethrin,NA,DTXSID6032649,Tetramethrin,7696-12-0,Single Compound,CXBMCYHAMVGWJQ-UHFFFAOYNA-N,C19H25NO4
29,DTXRID6016336808,ahhs-29,trans-permethrin,NA,DTXSID4037611,trans-Permethrin,61949-77-7,Single Compound,RLLPVAHGXHCWKJ-ZSFWTHPBNA-N,C21H20Cl2O3
30,DTXRID4016336809,airmon-1,Ca,NA,DTXSID7037638,Calcium ion,14127-61-8,Single Compound,BHPQYMZQTOCNFJ-UHFFFAOYSA-N,Ca
31,DTXRID9016336810,airmon-2,Cl,NA,DTXSID6043969,Chloride,16887-00-6,Single Compound,VEXZGXHMUGYJMC-UHFFFAOYSA-M,Cl
32,DTXRID7016336811,airmon-3,K,NA,DTXSID9049748,Potassium,9/7/7440,Single Compound,ZLMJMSJWJFRBEC-UHFFFAOYSA-N,K
33,DTXRID5016336812,airmon-4,Mg,NA,DTXSID0049658,Magnesium,7439-95-4,Single Compound,FYYHWMGAXLPEAU-UHFFFAOYSA-N,Mg
34,DTXRID3016336813,airmon-5,Na,NA,DTXSID1049774,Sodium,7440-23-5,Single Compound,KEAYESYHFKHZAL-UHFFFAOYSA-N,Na
35,DTXRID1016336814,airmon-6,NH4,NA,DTXSID5043974,Ammonium,14798-03-9,Single Compound,QGZKDVFQNNGYKY-UHFFFAOYSA-O,H4N
36,DTXRID9016336815,airmon-7,NO3,NA,DTXSID5024217,Nitrate,14797-55-8,Single Compound,NHNBFGGVMKEFGY-UHFFFAOYSA-N,NO3
37,DTXRID7016336816,airmon-8,PO4,NA,DTXSID7039672,Phosphate,14265-44-2,Single Compound,NBIIXXVUZAFLBC-UHFFFAOYSA-K,O4P
38,DTXRID5016336817,airmon-9,SO4,NA,DTXSID3042425,Sulfate,14808-79-8,Single Compound,QAOWNCQODCNURD-UHFFFAOYSA-L,O4S
39,DTXRID3016336818,biomon_ca-1,1-Hydroxynaphthalene (1-NAP),NA,DTXSID6021793,1-Naphthol,90-15-3,Single Compound,KJCVRFUGPWSIIH-UHFFFAOYSA-N,C10H8O
40,DTXRID1016336819,biomon_ca-2,1-Hydroxyphenanthrene (1-PHEN),NA,DTXSID90872758,1-Hydroxyphenanthrene,2433-56-9,Single Compound,GTBXZWADMKOZQJ-UHFFFAOYSA-N,C14H10O
41,DTXRID6016336820,biomon_ca-3,1-Hydroxypyrene (1-PYR),NA,DTXSID1038298,1-Hydroxypyrene,5315-79-7,Single Compound,BIJNHUAPTJVVNQ-UHFFFAOYSA-N,C16H10O
42,DTXRID4016336821,biomon_ca-4,2-(N-Ethyl-perfluorooctane sulfonamido) acetic acid [Et-PFOSA-AcOH],NA,DTXSID5062760,2-(N-Ethylperfluorooctanesulfonamido)acetic acid,2991-50-6,Single Compound,CKRXVVGETMYFIO-UHFFFAOYSA-N,C12H8F17NO4S
43,DTXRID2016336822,biomon_ca-5,2-(N-Methyl-perfluorooctane sulfonamido) acetic acid [Me-PFOSA-AcOH],NA,DTXSID10624392,2-(N-Methylperfluorooctanesulfonamido)acetic acid,2355-31-9,Single Compound,QNDHIRFIMVNHBN-UHFFFAOYSA-N,C11H6F17NO4S
44,DTXRID0016336823,biomon_ca-6,"2,4,5-Trichlorophenoxyacetic acid (2,4,5-T)",NA,DTXSID5021388,"2,4,5-Trichlorophenoxyacetic acid",93-76-5,Single Compound,SMYMJHWAQXWPDB-UHFFFAOYSA-N,C8H5Cl3O3
45,DTXRID8016336824,biomon_ca-7,"2,4-Dichlorophenoxyacetic acid (2,4-D)",NA,DTXSID0020442,"2,4-Dichlorophenoxyacetic acid",94-75-7,Single Compound,OVSKIKFHRZPJSS-UHFFFAOYSA-N,C8H6Cl2O3
46,DTXRID6016336825,biomon_ca-8,2-Hydroxyfluorene (2-FLUO),NA,DTXSID2047569,2-Hydroxyfluorene,2443-58-5,Single Compound,ZDOIAPGLORMKTR-UHFFFAOYSA-N,C13H10O
47,DTXRID4016336826,biomon_ca-9,2-Hydroxynaphthalene (2-NAP),NA,DTXSID5027061,2-Naphthalenol,135-19-3,Single Compound,JWAZRIHNYRIHIV-UHFFFAOYSA-N,C10H8O
48,DTXRID2016336827,biomon_ca-10,2-Hydroxyphenanthrene (2-PHEN),NA,DTXSID8052722,Phenanthren-2-ol,605-55-0,Single Compound,YPWLZGITFNGGKW-UHFFFAOYSA-N,C14H10O
49,DTXRID0016336828,biomon_ca-11,2-Isopropyl-4-methyl-6-hydroxypyrimidine (IMPY),NA,DTXSID1027502,2-Isopropyl-6-methyl-4-pyrimidone,2814-20-2,Single Compound,AJPIUNPJBFBUKK-UHFFFAOYSA-N,C8H12N2O
50,DTXRID8016336829,biomon_ca-12,"3,5,6-Trichloro-2-pyridinol (TCPy)",NA,DTXSID7038317,"3,5,6-Trichloro-2-pyridinol",6515-38-4,Single Compound,WCYYAQFQZQEUEN-UHFFFAOYSA-N,C5H2Cl3NO
51,DTXRID3016336830,biomon_ca-13,3-Hydroxyfluorene (3-FLUO),NA,DTXSID9047540,3-Hydroxyfluorene,6344-67-8,Single Compound,PVUBSZGNXLNTLX-UHFFFAOYSA-N,C13H10O
52,DTXRID1016336831,biomon_ca-14,3-Hydroxyphenanthrene (3-PHEN),NA,DTXSID3052723,3-Hydroxyphenanthrene,605-87-8,Single Compound,NGPOABOEXMDQBT-UHFFFAOYSA-N,C14H10O
53,DTXRID9016336832,biomon_ca-15,3-Phenoxybenzoic acid (3-PBA),NA,DTXSID1038321,3-Phenoxybenzoic acid,3739-38-6,Single Compound,NXTDJHZGHOFSQG-UHFFFAOYSA-N,C13H10O3
54,DTXRID7016336833,biomon_ca-16,4-Fluoro-3-phenoxybenzoic acid (4F-3-PBA),NA,DTXSID00228005,4-Fluoro-3-phenoxybenzoic acid,77279-89-1,Single Compound,VLXNXMTVRWIUJZ-UHFFFAOYSA-N,C13H9FO3
55,DTXRID5016336834,biomon_ca-17,9-Hydroxyfluorene (9-FLUO),NA,DTXSID4052683,Fluoren-9-ol,1689-64-1,Single Compound,AFMVESZOYKHDBJ-UHFFFAOYSA-N,C13H10O
56,DTXRID3016336835,biomon_ca-18,Arsenic,NA,DTXSID4023886,Arsenic,7440-38-2,Single Compound,RQNWIZPPADIBDY-UHFFFAOYSA-N,As
57,DTXRID1016336836,biomon_ca-19,BDE 017,NA,DTXSID40872703,"2,2',4-Tribromodiphenyl ether",147217-75-2,Single Compound,VYBFILXLBMWOLI-UHFFFAOYSA-N,C12H7Br3O
58,DTXRID9016336837,biomon_ca-20,BDE 028,NA,DTXSID4052710,"2,4,4'-Tribromodiphenyl ether",41318-75-6,Single Compound,UPNBETHEXPIWQX-UHFFFAOYSA-N,C12H7Br3O
59,DTXRID7016336838,biomon_ca-21,BDE 047,NA,DTXSID3030056,"2,2',4,4'-Tetrabromodiphenyl ether",5436-43-1,Single Compound,XYBSIYMGXVUVGY-UHFFFAOYSA-N,C12H6Br4O
60,DTXRID5016336839,biomon_ca-22,BDE 066,NA,DTXSID9052688,"2,3',4,4'-Tetrabromodiphenyl ether",189084-61-5,Single Compound,DHUMTYRHKMCVAG-UHFFFAOYSA-N,C12H6Br4O
61,DTXRID0016336840,biomon_ca-23,BDE 085,NA,DTXSID4052685,"2,2',3,4,4'-Pentabromodiphenyl ether",182346-21-0,Single Compound,DMLQSUZPTTUUDP-UHFFFAOYSA-N,C12H5Br5O
62,DTXRID8016336841,biomon_ca-24,BDE 099,NA,DTXSID9030048,"2,2',4,4',5-Pentabromodiphenyl ether",60348-60-9,Single Compound,WHPVYXDFIXRKLN-UHFFFAOYSA-N,C12H5Br5O
63,DTXRID6016336842,biomon_ca-25,BDE 100,NA,DTXSID4052689,"2,2',4,4',6-Pentabromodiphenyl ether",189084-64-8,Single Compound,NSKIRYMHNFTRLR-UHFFFAOYSA-N,C12H5Br5O
64,DTXRID4016336843,biomon_ca-26,BDE 153,NA,DTXSID4030047,"2,2',4,4',5,5'-Hexabromodiphenyl ether",68631-49-2,Single Compound,RZXIRSKYBISPGF-UHFFFAOYSA-N,C12H4Br6O
65,DTXRID2016336844,biomon_ca-27,BDE 154,NA,DTXSID3052692,"2,2',4,4',5,6'-Hexabromodiphenyl ether",207122-15-4,Single Compound,VHNPZYZQKWIWOD-UHFFFAOYSA-N,C12H4Br6O
66,DTXRID0016336845,biomon_ca-28,BDE 183,NA,DTXSID8052693,"2,2',3,4,4',5',6-Heptabromodiphenyl ether",207122-16-5,Single Compound,ILPSCQCLBHQUEM-UHFFFAOYSA-N,C12H3Br7O
67,DTXRID8016336846,biomon_ca-29,BDE 197,NA,DTXSID9074775,"2,2',3,3',4,4',6,6'-octabromodiphenyl ether",117964-21-3,Single Compound,AAFUUKPTSPVXJH-UHFFFAOYSA-N,C12H2Br8O
68,DTXRID6016336847,biomon_ca-30,BDE 201,NA,DTXSID90879984,BDE-201,446255-50-1,Single Compound,HQWFMMKREWXIGN-UHFFFAOYSA-N,C12H2Br8O
69,DTXRID4016336848,biomon_ca-31,BDE 202,NA,DTXSID50879985,BDE-202,67797-09-5,Single Compound,AHNZLQAZTWRRDW-UHFFFAOYSA-N,C12H2Br8O
70,DTXRID2016336849,biomon_ca-32,BDE 203,NA,DTXSID7074749,BDE-203,337513-72-1,Single Compound,RTUZOQFRIPIWPS-UHFFFAOYSA-N,C12H2Br8O
71,DTXRID7016336850,biomon_ca-33,BDE 206,NA,DTXSID30881107,"2,2',3,3',4,4',5,5',6-Nonabromodiphenyl ether",63387-28-0,Single Compound,CYRHBNRLQMLULE-UHFFFAOYSA-N,C12HBr9O
72,DTXRID5016336851,biomon_ca-34,BDE 207,NA,DTXSID30451985,"2,2',3,3',4,4',5,6,6'-Nonabromodiphenyl ether",437701-79-6,Single Compound,IEEVDIAVLGLVOW-UHFFFAOYSA-N,C12HBr9O
73,DTXRID3016336852,biomon_ca-35,BDE 208,NA,DTXSID40556652,"2,2',3,3',4,5,5',6,6'-nonabromodiphenyl ether",437701-78-5,Single Compound,ASGZXYIDLFWXID-UHFFFAOYSA-N,C12HBr9O
74,DTXRID1016336853,biomon_ca-36,BDE 209,NA,DTXSID9020376,"2,2',3,3',4,4',5,5',6,6'-decabromodiphenyl ether",1163-19-5,Single Compound,WHHGLZMJPXIBIX-UHFFFAOYSA-N,C12Br10O
75,DTXRID9016336854,biomon_ca-37,Benzophenone-3 (Oxybenzone),NA,DTXSID3022405,2-Hydroxy-4-methoxybenzophenone,131-57-7,Single Compound,DXGLGDHPHMLXJC-UHFFFAOYSA-N,C14H12O3
76,DTXRID7016336855,biomon_ca-38,beta-Hexachlorocyclohexane (beta-HCH),NA,DTXSID7020685,beta-Hexachlorocyclohexane,319-85-7,Single Compound,JLYXXMFPNIAWKQ-CDRYSYESNA-N,C6H6Cl6
77,DTXRID5016336856,biomon_ca-39,Bisphenol A (BPA),NA,DTXSID7020182,Bisphenol A,80-05-7,Single Compound,IISBACLAFKSPIT-UHFFFAOYSA-N,C15H16O2
78,DTXRID3016336857,biomon_ca-40,Butyl paraben,NA,DTXSID3020209,Butylparaben,94-26-8,Single Compound,QFOHBWFCKVYLES-UHFFFAOYSA-N,C11H14O3
79,DTXRID1016336858,biomon_ca-41,Cadmium,NA,DTXSID1023940,Cadmium,7440-43-9,Single Compound,BDOSMKKIYDKNTQ-UHFFFAOYSA-N,Cd
80,DTXRID9016336859,biomon_ca-42,"Dichlorodiphenyldichloroethane (DDE) [para,para isomer]",NA,DTXSID9020374,"p,p'-DDE",72-55-9,Single Compound,UCNVFOCBFJOQAL-UHFFFAOYSA-N,C14H8Cl4
81,DTXRID4016336860,biomon_ca-43,"Dichlorodiphenyltrichloroethane (DDT) [ortho,para isomer]",NA,DTXSID4020375,DDT,50-29-3,Single Compound,YVGGHNCTFXOJCH-UHFFFAOYSA-N,C14H9Cl5
82,DTXRID2016336861,biomon_ca-44,"Dichlorodiphenyltrichloroethane (DDT) [para,para isomer]",NA,DTXSID4020375,DDT,50-29-3,Single Compound,YVGGHNCTFXOJCH-UHFFFAOYSA-N,C14H9Cl5
83,DTXRID0016336862,biomon_ca-45,Diethyldithiophosphate (DEDTP),NA,DTXSID6027133,"O,O-Diethyl dithiophosphate",298-06-6,Single Compound,IRDLUHRVLVEUHA-UHFFFAOYSA-N,C4H11O2PS2
84,DTXRID8016336863,biomon_ca-46,Diethylphosphate (DEP),NA,DTXSID1044699,Diethyl hydrogen phosphate,598-02-7,Single Compound,UCQFCFPECQILOL-UHFFFAOYSA-N,C4H11O4P
85,DTXRID6016336864,biomon_ca-47,Dimethyldithiophosphate (DMDTP),NA,DTXSID5027306,"O,O-Dimethyldithiophosphate",756-80-9,Single Compound,CZGGKXNYNPJFAX-UHFFFAOYSA-N,C2H7O2PS2
86,DTXRID4016336865,biomon_ca-48,Dimethylthiophosphate (DMTP),NA,DTXSID10858736,"O,O-Dimethylthiophosphate",1112-38-5,Single Compound,WWJJVKAEQGGYHJ-UHFFFAOYSA-N,C2H7O3PS
87,DTXRID2016336866,biomon_ca-49,Ethyl paraben,NA,DTXSID9022528,Ethylparaben,120-47-8,Single Compound,NUVBSKCKDOMJSU-UHFFFAOYSA-N,C9H10O3
88,DTXRID0016336867,biomon_ca-50,Hexachlorobenzene (HCB),NA,DTXSID2020682,Hexachlorobenzene,118-74-1,Single Compound,CKAPSXZOOQJIBF-UHFFFAOYSA-N,C6Cl6
89,DTXRID8016336868,biomon_ca-51,Lead,NA,DTXSID2024161,Lead,7439-92-1,Single Compound,WABPQHHGFIMREM-UHFFFAOYSA-N,Pb
90,DTXRID6016336869,biomon_ca-52,Manganese,NA,DTXSID2024169,Manganese,7439-96-5,Single Compound,PWHULOQIROXLJO-UHFFFAOYSA-N,Mn
91,DTXRID1016336870,biomon_ca-53,Mercury,NA,DTXSID1024172,Mercury,7439-97-6,Single Compound,QSHDDOUJBYECFT-UHFFFAOYSA-N,Hg
92,DTXRID9016336871,biomon_ca-54,Methyl paraben,NA,DTXSID4022529,Methylparaben,99-76-3,Single Compound,LXCFILQKKLGQFO-UHFFFAOYSA-N,C8H8O3
93,DTXRID7016336872,biomon_ca-55,Mono-(2-ethyl-5-carboxypentyl) phthalate [MECPP],NA,DTXSID20873152,Mono(2-ethyl-5-carboxypentyl) phthalate,40809-41-4,Mixture of Stereoisomers,XFGRNAPKLGXDGF-UHFFFAOYNA-N,C16H20O6
94,DTXRID5016336873,biomon_ca-56,Mono-(3-carboxypropyl) phthalate [MCPP],NA,DTXSID8052726,Mono(3-carboxypropyl)phthalate,66851-46-5,Single Compound,IYTPMLIWBZMBSL-UHFFFAOYSA-N,C12H12O6
95,DTXRID3016336874,biomon_ca-57,Mono-benzyl phthalate (MBzP),NA,DTXSID9043938,Monobenzyl phthalate,2528-16-7,Single Compound,XIKIUQUXDNHBFR-UHFFFAOYSA-N,C15H12O4
96,DTXRID1016336875,biomon_ca-58,Mono-cyclohexyl phthalate (MCHP),NA,DTXSID3052729,Monocyclohexyl phthalate,7517-36-4,Single Compound,PMDKYLLIOLFQPO-UHFFFAOYSA-N,C14H16O4
97,DTXRID9016336876,biomon_ca-59,Mono-ethyl phthalate (MEP),NA,DTXSID4032613,Fenitrothion,122-14-5,Single Compound,ZNOLGFHPUIJIMJ-UHFFFAOYSA-N,C9H12NO5PS
98,DTXRID7016336877,biomon_ca-60,Mono-n-butyl phthalate (MnBP),NA,DTXSID4040002,Monobutyl phthalate,131-70-4,Single Compound,YZBOVSFWWNVKRJ-UHFFFAOYSA-N,C12H14O4
99,DTXRID5016336878,biomon_ca-61,"N,N-Diethyl-3-methylbenzamide (DEET)",NA,DTXSID2021995,DEET,134-62-3,Single Compound,MMOXZBCLCQITDF-UHFFFAOYSA-N,C12H17NO
100,DTXRID3016336879,biomon_ca-62,Oxychlordane,NA,DTXSID9044166,Oxychlordane,27304-13-8,Mixture of Stereoisomers,VWGNQYSIWFHEQU-QOAYMTHINA-N,C10H4Cl8O
101,DTXRID8016336880,biomon_ca-63,PCB 028,NA,DTXSID2038310,"2,4,4'-Trichlorobiphenyl",7012-37-5,Single Compound,BZTYNSQSZHARAZ-UHFFFAOYSA-N,C12H7Cl3
102,DTXRID6016336881,biomon_ca-64,PCB 066,NA,DTXSID3073472,"2,3',4,4'-Tetrachlorobiphenyl",32598-10-0,Single Compound,RKLLTEAEZIJBAU-UHFFFAOYSA-N,C12H6Cl4
103,DTXRID4016336882,biomon_ca-65,PCB 074,NA,DTXSID8073473,"2,4,4',5-Tetrachlorobiphenyl",32690-93-0,Single Compound,TULCXSBAPHCWCF-UHFFFAOYSA-N,C12H6Cl4
104,DTXRID2016336883,biomon_ca-66,PCB 099,NA,DTXSID1073496,"2,2',4,4',5-Pentachlorobiphenyl",38380-01-7,Single Compound,LMQJBFRGXHMNOX-UHFFFAOYSA-N,C12H5Cl5
105,DTXRID0016336884,biomon_ca-67,PCB 101,NA,DTXSID8038304,"2,2',4,5,5'-Pentachlorobiphenyl",37680-73-2,Single Compound,LAHWLEDBADHJGA-UHFFFAOYSA-N,C12H5Cl5
106,DTXRID8016336885,biomon_ca-68,PCB 105,NA,DTXSID8038306,"2,3,3',4,4'-Pentachlorobiphenyl",32598-14-4,Single Compound,WIDHRBRBACOVOY-UHFFFAOYSA-N,C12H5Cl5
107,DTXRID6016336886,biomon_ca-69,PCB 118,NA,DTXSID4032116,"2,3',4,4',5-Pentachlorobiphenyl",31508-00-6,Single Compound,IUTPYMGCWINGEY-UHFFFAOYSA-N,C12H5Cl5
108,DTXRID4016336887,biomon_ca-70,PCB 138,NA,DTXSID8038300,"2,2',3,4,4',5'-Hexachlorobiphenyl",35065-28-2,Single Compound,RPUMZMSNLZHIGZ-UHFFFAOYSA-N,C12H4Cl6
109,DTXRID2016336888,biomon_ca-71,PCB 153,NA,DTXSID2032180,"2,2',4,4',5,5'-Hexachlorobiphenyl",35065-27-1,Single Compound,MVWHGTYKUMDIHL-UHFFFAOYSA-N,C12H4Cl6
110,DTXRID0016336889,biomon_ca-72,PCB 156,NA,DTXSID0052706,"2,3,3',4,4',5-Hexachlorobiphenyl",38380-08-4,Single Compound,LCXMEXLGMKFLQO-UHFFFAOYSA-N,C12H4Cl6
111,DTXRID5016336890,biomon_ca-73,PCB 167,NA,DTXSID7074165,"2,3',4,4',5,5'-Hexachlorobiphenyl",52663-72-6,Single Compound,AZXHAWRMEPZSSV-UHFFFAOYSA-N,C12H4Cl6
112,DTXRID3016336891,biomon_ca-74,PCB 170,NA,DTXSID2073481,"2,2',3,3',4,4',5-Heptachlorobiphenyl",35065-30-6,Single Compound,RMPWIIKNWPVWNG-UHFFFAOYSA-N,C12H3Cl7
113,DTXRID1016336892,biomon_ca-75,PCB 180,NA,DTXSID6038299,"2,2',3,4,4',5,5'-Heptachlorobiphenyl",35065-29-3,Single Compound,WBHQEUPUMONIKF-UHFFFAOYSA-N,C12H3Cl7
114,DTXRID9016336893,biomon_ca-76,PCB 183,NA,DTXSID7074163,"2,2',3,4,4',5',6-Heptachlorobiphenyl",52663-69-1,Single Compound,KQBFUDNJKCZEDQ-UHFFFAOYSA-N,C12H3Cl7
115,DTXRID7016336894,biomon_ca-77,PCB 187,NA,DTXSID5052832,"2,2',3,4',5,5',6-Heptachloro-1,1'-biphenyl",52663-68-0,Single Compound,UDMZPLROONOSEF-UHFFFAOYSA-N,C12H3Cl7
116,DTXRID5016336895,biomon_ca-78,PCB 194,NA,DTXSID5074139,"2,2',3,3',4,4',5,5'-Octachlorobiphenyl",35694-08-7,Single Compound,DTMRKGRREZAYAP-UHFFFAOYSA-N,C12H2Cl8
117,DTXRID3016336896,biomon_ca-79,PCB 203,NA,DTXSID7074169,"2,2',3,4,4',5,5',6-Octachlorobiphenyl",52663-76-0,Single Compound,DCPDZFRGNJDWPP-UHFFFAOYSA-N,C12H2Cl8
118,DTXRID1016336897,biomon_ca-80,Perfluorobutane sulfonic acid (PFBuS),NA,DTXSID5030030,Perfluorobutanesulfonic acid,375-73-5,Single Compound,JGTNAGYHADQMCM-UHFFFAOYSA-N,C4HF9O3S
119,DTXRID9016336898,biomon_ca-81,Perfluorodecanoic acid (PFDeA),NA,DTXSID3031860,Perfluorodecanoic acid,335-76-2,Single Compound,PCIUEQPBYFRTEM-UHFFFAOYSA-N,C10HF19O2
120,DTXRID7016336899,biomon_ca-82,Perfluorododecanoic acid (PFDoA),NA,DTXSID8031861,Perfluorododecanoic acid,307-55-1,Single Compound,CXGONMQFMIYUJR-UHFFFAOYSA-N,C12HF23O2
121,DTXRID8016336900,biomon_ca-83,Perfluoroheptanoic acid (PFHpA),NA,DTXSID1037303,Perfluoroheptanoic acid,375-85-9,Single Compound,ZWBAMYVPMDSJGQ-UHFFFAOYSA-N,C7HF13O2
122,DTXRID6016336901,biomon_ca-84,Perfluorohexane sulfonic acid (PFHxS),NA,DTXSID7040150,Perfluorohexanesulfonic acid,355-46-4,Single Compound,QZHDEAJFRJCDMF-UHFFFAOYSA-N,C6HF13O3S
123,DTXRID4016336902,biomon_ca-85,Perfluorononanoic acid (PFNA),NA,DTXSID8031863,Perfluorononanoic acid,375-95-1,Single Compound,UZUFPBIDKMEQEQ-UHFFFAOYSA-N,C9HF17O2
124,DTXRID2016336903,biomon_ca-86,Perfluorooctane sulfonamide (PFOSA),NA,DTXSID3038939,Perfluorooctanesulfonamide,754-91-6,Single Compound,RRRXPPIDPYTNJG-UHFFFAOYSA-N,C8H2F17NO2S
125,DTXRID0016336904,biomon_ca-87,Perfluorooctane sulfonic acid (PFOS),NA,DTXSID3031864,Perfluorooctanesulfonic acid,1763-23-1,Single Compound,YFSUTJLHUFNCNZ-UHFFFAOYSA-N,C8HF17O3S
126,DTXRID8016336905,biomon_ca-88,Perfluorooctanoic acid (PFOA),NA,DTXSID8031865,Perfluorooctanoic acid,335-67-1,Single Compound,SNGREZUHAYWORS-UHFFFAOYSA-N,C8HF15O2
127,DTXRID6016336906,biomon_ca-89,Perfluoroundecanoic acid (PFUA),NA,DTXSID8047553,Perfluoroundecanoic acid,2058-94-8,Single Compound,SIDINRCMMRKXGQ-UHFFFAOYSA-N,C11HF21O2
